date,push_time,log_file,name,code,cnt,cnt_max,premium_rt
2026-04-30,,cb_noredeem_20260430_1330.log,华特转债,118033,7,15,0.74
2026-04-30,,cb_noredeem_20260430_1330.log,星球转债,118041,4,15,1.11
2026-04-30,,cb_noredeem_20260430_1400.log,帝欧转债,127047,11,15,-0.1
2026-04-30,,cb_noredeem_20260430_1400.log,瑞丰转债,123126,11,15,-0.07
2026-04-30,,cb_noredeem_20260430_1400.log,华特转债,118033,7,15,0.08
2026-04-30,,cb_noredeem_20260430_1400.log,盈峰转债,127024,14,15,0.35
2026-04-30,,cb_noredeem_20260430_1400.log,星球转债,118041,4,15,0.86
2026-04-30,,cb_noredeem_20260430_1400.log,翔丰转债,123225,6,15,1.5
2026-04-30,,cb_noredeem_20260430_1400.log,超达转债,123187,14,15,1.51
2026-04-30,,cb_noredeem_20260430_1430.log,帝欧转债,127047,11,15,-0.18
2026-04-30,,cb_noredeem_20260430_1430.log,华特转债,118033,7,15,0.01
2026-04-30,,cb_noredeem_20260430_1430.log,瑞丰转债,123126,11,15,0.06
2026-04-30,,cb_noredeem_20260430_1430.log,盈峰转债,127024,14,15,0.47
2026-04-30,,cb_noredeem_20260430_1430.log,星球转债,118041,4,15,0.96
2026-04-30,,cb_noredeem_20260430_1430.log,翔丰转债,123225,6,15,1.81
2026-04-30,,cb_noredeem_20260430_1500.log,瑞丰转债,123126,11,15,-0.46
2026-04-30,,cb_noredeem_20260430_1500.log,星球转债,118041,4,15,-0.28
2026-04-30,,cb_noredeem_20260430_1500.log,帝欧转债,127047,11,15,-0.07
2026-04-30,,cb_noredeem_20260430_1500.log,盈峰转债,127024,14,15,0.09
2026-04-30,,cb_noredeem_20260430_1500.log,华特转债,118033,7,15,0.8
2026-04-30,,cb_noredeem_20260430_1500.log,翔丰转债,123225,6,15,1.52
2026-04-30,,cb_noredeem_20260430_1500.log,超达转债,123187,14,15,1.85
2026-04-30,,cb_noredeem_20260430_1530.log,盈峰转债,127024,15,15,-1.93
